DATASET_YR	REPRJ_ID	INUN_ID	CURRENCY_CODE	AP_RECD_1ST_N	AP_ADMT_1ST_N	EN_1ST_N	AP_RECD_1ST_MEN_N	AP_RECD_1ST_WMN_N	AP_ADMT_1ST_MEN_N	AP_ADMT_1ST_WMN_N	EN_1ST_FT_MEN_N	EN_1ST_FT_WMN_N	EN_1ST_PT_MEN_N	EN_1ST_PT_WMN_N	AD_WAIT	AP_RECD_WAIT_N	AP_ACPT_WAIT_N	AP_ADMT_WAIT_N	EN_WAIT_N	AD_OPEN	AD_OPEN_T	AD_PREF	AD_PREF_T	AD_EAD	AD_INTL_BACH	AD_EACT	AD_EDEC	AD_DEFER	AD_HS_REQ_ALL	AD_HS_REQ_SOME	AD_HS_REQ_SOME_T	AP_DL_FRSH_MON	AP_DL_FRSH_DAY	AP_DL_FRSH_I	AP_NOTF_DL_FRSH_MON	AP_NOTF_DL_FRSH_DAY	AP_NOTF_DL_FRSH_I	AP_DL_NRES_MON	AP_DL_NRES_DAY	AP_DL_NRES_I	AP_DL_EDEC_2_MON	AP_DL_EDEC_2_DAY	AP_DL_EDEC_2_I	AP_NOTF_DL_EDEC_2_MON	AP_NOTF_DL_EDEC_2_DAY	AP_NOTF_DL_EDEC_2_I	AP_REPLY_DL_FRSH_MON	AP_REPLY_DL_FRSH_DAY	AP_REPLY_DL_FRSH_T	AP_REPLY_DL_NRES_MON	AP_REPLY_DL_NRES_DAY	AP_REPLY_DL_NRES_T	AP_REPLY_DL_EDEC_1_MON	AP_REPLY_DL_EDEC_1_DAY	AP_REPLY_DL_EDEC_1_T	AP_REPLY_DL_EDEC_2_MON	AP_REPLY_DL_EDEC_2_DAY	AP_REPLY_DL_EDEC_2_T	AP_REPLY_DL_EACT_MON	AP_REPLY_DL_EACT_DAY	AP_REPLY_DL_EACT_T	AP_REPLY_DL_TFER_MON	AP_REPLY_DL_TFER_DAY	AP_REPLY_DL_TFER_T	AP_NOTF_DL_NRES_MON	AP_NOTF_DL_NRES_DAY	AP_NOTF_DL_NRES_I	AP_DL_EDEC_1_MON	AP_DL_EDEC_1_DAY	AP_DL_EDEC_1_I	AP_DL_TFER_MON	AP_DL_TFER_DAY	AP_DL_TFER_I	AP_NOTF_DL_EDEC_1_MON	AP_NOTF_DL_EDEC_1_DAY	AP_NOTF_DL_EDEC_1_I	AP_DL_EACT_MON	AP_DL_EACT_DAY	AP_DL_EACT_I	AP_NOTF_DL_EACT_MON	AP_NOTF_DL_EACT_DAY	AP_NOTF_DL_EACT_I	AP_NOTF_DL_TFER_MON	AP_NOTF_DL_TFER_DAY	AP_NOTF_DL_TFER_I	AP_FEE_RES_D	AP_FEE_NRES_D	AP_FEE_INTL_D	AP_RECD_EDEC_N	AP_ADMT_EDEC_N	AP_RECD_EACT_N	AP_ADMT_EACT_N	EN_EACT_N	AP_COMMON	AP_ELECTRONIC	AD_VIDEO	AD_VIEWBOOK	AD_DIFF_ALL	AD_DIFF_NRES	AD_DIFF_TFER	AD_DIFF_GRP	AD_DIFF_GRP_T	AD_INTL	AD_INTL_TFER	AP_RECD_INTL_N	AP_ADMT_INTL_N	EN_INTL_N	AP_DL_INTL_DAY	AP_DL_INTL_MON	AP_DL_INTL_I	AD_INTL_FALL	AD_INTL_SPRI	AD_INTL_SUMM	AD_INTL_WINT	AD_TOEFL_SCORE	AD_TOEFL_SCORE_ESL	AD_ELS_LVL	AD_TFER_FALL	AD_TFER_WINT	AD_TFER_SPRI	AD_TFER_SUMM	EN_1ST_FT_N	EN_1ST_PT_N	AD_TOEFL_CMPTR_SCORE	AD_TOEFL_CMPTR_SCORE_ESL	AD_TFER_GRADE	AD_TFER_CRDT_2_N	AD_TFER_CRDT_4_N	AD_TFER_CRDT_4_UNIT	AD_TFER_CRDT_2_UNIT	AD_INTL_PREV	AP_RECD_INTL_PREV_N	AP_ADMT_INTL_PREV_N	EN_INTL_PREV_N	AD_INTL_TFER_FA	AD_TOEFL_WAIV	AP_DL_TFER_WINT_MON	AP_DL_TFER_WINT_DAY	AP_DL_TFER_WINT_I	AP_DL_TFER_SPRI_MON	AP_DL_TFER_SPRI_DAY	AP_DL_TFER_SPRI_I	AP_DL_TFER_SUMM_MON	AP_DL_TFER_SUMM_DAY	AP_DL_TFER_SUMM_I	AP_NOTF_DL_TFER_WINT_MON	AP_NOTF_DL_TFER_WINT_DAY	AP_NOTF_DL_TFER_WINT_I	AP_NOTF_DL_TFER_SPRI_MON	AP_NOTF_DL_TFER_SPRI_DAY	AP_NOTF_DL_TFER_SPRI_I	AP_NOTF_DL_TFER_SUMM_MON	AP_NOTF_DL_TFER_SUMM_DAY	AP_NOTF_DL_TFER_SUMM_I	AP_SAT1_ACT_DL_MON	AP_SAT1_ACT_DL_DAY	AP_SAT2_DL_MON	AP_SAT2_DL_DAY	AD_TFER_CLEP_SUBJECT	AD_TFER_CLEP_GEN	AD_TFER_CRDT_DANTES	AD_TFER_CRDT_LEARN	AD_TFER_CRDT_ACPT_YR	AD_TFER_CRDT_ANY_YR	AD_TFER_CRDT_MILITARY	AD_TFER_CRDT_ACE	AD_TFER_CRDT_EXCELSIOR	AD_TFER_CRDT
2018	12	5041	USD	8332	4169		3362	4970	1569	2600					N					N		N		N	Y	N	N	Y	GED					C			C																																				C												C	35.00									Y	N	N	MOD		MOD																		X		X																																			6	1			X			X		X		N		Y
2018	12	5042	USD				2410	2574	2410	2574					N					Y	None					N	N		NON					C			C																																				C												C	0.00									Y	Y	N	NONC		NONC	MOD	nursing, respiratory therapy, medical laboratory technology, biotechnology, cosmetology, dental assisting, LPN. EMS-paramedic, alternative teacher license programs																X		X	X																																						X	X				X				Y
2018	12	5043	USD	3464	2723		1132	2332	841	1882					N					N		N		N	Y	N	N	Y	GED					C			C																																				C												C	0.00									Y	Y	Y	MOD																				X		X	X																																						X					X				Y
2018	12	5045	USD	4103	1698		2237	1866	903	795					N					N		N		N	N	N	N	Y	GED					C	8	31																																					C										8	31	C	0.00									Y	Y	N	MOD		MOD																		X		X	X																																		8	1	8	1	X		X			X		Y		Y
2018	12	5046	USD												N					Y				Y		N	N		GED			9	9																																						9	9														0.00									N	N	N	NONC		NONC																																																																				
2018	12	5047	USD												Y					Y		N		Y		N	N	Y	GED					C			C																																				C												C	20.00									Y	N	N	MIN		MIN	MOD	law enforcement, practical nursing, Associate Degree in Nursing programs																X		X	X																																						X	X	X	X		X		Y	X	Y
2018	12	5050	USD	3566	2237		1772	1794	1126	1111					N					N		N		Y	Y	N	Y	Y	GED			8	1				C																															12	1		8	1		12	15										C	50.00			61	48					Y	N	N	MOD		MOD	VERY	statutory engineering programs (biomaterials, ceramics, glass science), School of Art and Design																X		X																																			8	1	8	1	X					X		Y		Y
2018	12	5051	USD	5599	316		2244	3355	141	175																			GED					C						C			C																											C			C						C							0.00									Y	Y	Y	MIN																				X		X																																																Y
2018	12	5052	USD												N					Y	except for nursing, drama, fire technology programs	N				N	N		NON					C			C																																				C												C	0.00									Y	N	N	NONC		NONC	VERY	nursing, drama, fire technology programs																X	X	X	X																																						X									Y
2018	12	5053	USD												N					Y	except for allied health programs	N		Y		N	N	N	GED	REQ	Dislocated Workers Program			C																																							C												C	0.00									Y	N	Y	NONC		NONC	MIN	allied health programs																																																									X									
2018	12	5054		5114	3472		2419	2695	1508	1964					Y	223	223	14		N		N		Y	Y	Y	Y	Y	GED			2	15		3	15					2	1		2	15																							11	1		7	1		11	15		12	1		1	1		8	1					163	82	1754	1438			Y	N	N	VERY		MOD																		X		X																																			2	15	2	15	X	X				X		N		Y
2018	12	5055	USD	0	0		0	0	0	0					N					N		N		N	N	N	N	N	GED			2	1		3	1	C																																		2	1											3	1	C	50.00									Y	N	Y	MOD		MOD																		X		X	X																																						X		X			X		Y		Y
2018	12	5056	USD												N					Y		N		Y		N	N	Y	GED			8	24	C			C																																		8	24													C	0.00									Y	N	Y	NONC		NONC																		X		X	X																																						X									Y
2018	12	5058	USD	3033	2238		1118	1915	805	1433					N					N	except Part-time, returning adults			Y		N	N	Y	GED			8	1		10	6	C																																																	0.00									Y	Y	Y	MOD		MOD	VERY	Physician Assistant Program																X		X																																			8	1			X	X		X						Y
2018	12	5059	USD	1937	1395		692	1245	464	931					N					Y		N				N	N		GED			7	31																																																					20.00									Y	N	N	MIN		MIN																		X		X																																											10					Y
2018	12	5061	USD	4728	3026		1927	2801	1164	1862					N					N		N		N	Y	N	N	N	GED					C			C																																				C												C	25.00									Y	N	N	MOD		MOD																		X	X	X	X																																		9	1								X		N		Y
2018	12	5063	USD	1050	1050		500	550	500	550					N					Y	except for nursing, utility technician programs	N		Y		N	N	Y	NON	GED	nursing, utility technician programs			C			C																																				C												C	0.00									Y	N	N	NONC		NONC	MOD	nursing, utility technician programs																																																									X	X	X	X		X		Y		
2018	12	5064	USD	1788	1332		524	1264	385	947					N					N		N		N	Y	N	N	Y	GED					C			C																																				C												C	25.00									Y	N	N	MOD		MOD																		X		X	X																																		8	1			X	X	X	X		X		Y		Y
2018	12	5065	USD	610	475		0	610	0	475					N					N		N		N	Y	N	N	Y	GED					C			C																																				C												C	0.00									Y	N	N	MOD		MOD																		X		X																																							X							N		Y
2018	12	5066																		Y									NON																																																																			Y	Y																					X		X	X																																						X	X	X	X		X				Y
2018	12	5067	USD																	Y		N		Y		N	N	Y	NON								C																																																C	0.00									N	N	N	NONC		NONC																																																																				
2018	12	5069	USD												N					N		N		N		N	N	N	GED					C																																							C													25.00									Y	Y	N	MOD		MOD																		X		X																																												X				Y
2018	12	5070	EUR	92	83		45	47	40	43					N					N		N		N	Y	N	N	Y	GED					C			C																																				C												C	75.00									Y	Y	Y	MIN		MIN																		X		X																																										X		X		N		Y
2018	12	5072	USD	524	418		181	343	146	272					N					N		N		N	N	N	N	Y	GED					C			C																																				C												C	50.00									Y	Y	Y	MOD		MOD																																																											X							N		N
2018	12	5073	USD	481	378		184	297	142	236					N					N		N		N		N	N	Y	GED					C			C																																				C												C	50.00									Y	Y		MOD		MOD																		X	X																																								X	X	X			X		Y		Y
2018	12	5074	USD	220	114										N					Y		N		N	Y	N	N	Y	GED					C			C																																				C												C	75.00									N	N	N	NONC																				X	X	X	X																																						X	X		X	20			Y		Y
2018	12	5075	USD												Y					Y		N		Y		N	N	Y	GED					C	8	15	C																																		8	30														50.00									N	N	N	NONC																																																																						
2018	12	5077	USD	45	37		28	17	24	13					N					Y		N		N	Y	N	N	Y	GED					C			C																																				C												C	30.00									Y	N	N	NONC		NONC																		X		X																																							X				5			N		Y
2018	12	5079	USD	149	141										N					N		N		N	Y	N	N	Y	GED					C			C																																				C												C	75.00									Y	N	Y	MOD		MOD																		X		X																																							X					X		N		Y
2018	12	5085	USD	1293	981		326	967	208	773					N					N		N		N	Y	N	N	Y	GED			3	15	C			C																																		3	15	C												C	70.00									Y	Y	Y	MOD		MOD																		X		X																																												X		N		Y
2018	12	5087	USD	325	271				146	125					N					Y		N		N		N	N	Y	GED								C																																																C	25.00									Y	Y		NONC		NONC																		X	X	X	X																																						X									Y
2018	12	5097	USD												N					Y		N		N		N	N	N	GED					C			C																																				C												C	0.00									Y	N	Y	NONC		NONC																		X	X	X	X																																						X		X					Y		Y
2018	12	5099																											GED																																																																																																																																											
2018	12	5102	USD	1988	1428		923	1065	633	795					N					N		N		N	Y	N	N	Y	GED			9	7				C																																		9	7													C	0.00									Y	N	N	MIN		MIN	MOD	health sciences																X		X	X																																						X		X			X		Y	X	Y
2018	12	5104	USD												N					Y		N		N	Y	N	N	Y	GED																																																									0.00									Y	N	N	NONC		NONC																		X	X	X	X																																						X	X	X	X				Y	X	Y
2018	12	5107													N					Y	except for nursing, respiratory therapy programs	N		Y		N	N	Y	NON	GED	nursing, respiratory therapy programs; applicants under 18			C																																							C																						N	N	N	NONC		NONC	MOD	nursing, respiratory therapy programs																																																																		
2018	12	5108	USD	407	407		151	256	151	256					N					Y				Y		N	N	Y	GED					C			C																																																	0.00									Y			NONC		NONC																		X		X	X																																		8	22	8	22				X		X		Y		Y
2018	12	5111	USD	18699	5498		6932	11767	1916	3582					Y	4049	609	0		N		N		Y	Y	N	Y	Y	GED			1	15		4	1					1	15		2	15																							11	15		3	1		12	31										C	70.00			898	759					Y	N	Y	VERY		MOD																		X		X	X																																		1	10	6	1	X					X		N		Y
2018	12	5112	USD	2387	1286		1201	1186	586	700					Y					N		N		Y	Y	Y	N	Y	GED			3	1				C																																		3	1					3	1							C	85.00									Y	N	N	VERY		VERY	MOD	American visiting students																X		X																																			5	1	5	1										Y
2018	12	5113	USD	9285	1198		4125	5160	601	597					Y	1144	590	60		N		N		Y	N	N	Y	Y	NON			1	1		4	1																																11	1		3	1		12	15								5	15		65.00			502	173					Y	N	Y	MOST		MOST																		X		X																																			1	1	1	1						X		N		Y
2018	12	5114	USD	1125	771		475	650	315	456					N					Y		N		N	Y	N	N	N	GED					C																																							C													0.00									Y	Y	Y	NONC		NONC																		X	X	X	X																																						X							Y		Y
2018	12	5115	USD	2236	1459		987	1249	603	856					N					N		N		N	Y	N	N	Y	GED			7	1		9	1																																					C										9	1	C	25.00									Y	Y	N	MOD		MOD																		X		X	X																																		7	1			X					X				Y
2018	12	5116	USD	2322	1836		705	1617	558	1278					N					N		N		N		N	N	Y	GED			8	1				C																																																C	25.00									Y	Y	Y	MIN		MIN																		X		X																																							X					X		Y		
2018	12	5120	USD																	N		N		Y		N	N	Y	GED			8	15																																						8	15														20.00									Y			MOD		MOD																		X		X	X																																											X		N		
2018	12	5121	USD	1554	896		675	879	397	499					N					N		N		N	Y	N	N	Y	GED					C			C																																				C												C	30.00									Y	N	Y	MOD		MOD																		X		X	X																																						X	X	X					Y		
2018	12	5122													N					Y		N		Y		N	N	Y	GED					C			C																																				C												C										Y	N		NONC																																																																						
2018	12	5123	USD	4316	3174		1868	2448	1382	1792					N					N		N		Y	Y	N	N	Y	GED					C			C																																				C												C	35.00									Y	Y	Y	MOD		MOD																		X		X	X																																		8	24			X	X	X			X		N		Y
2018	12	5125	USD	1785	1429		706	1079	534	895					N					N		N		N	Y	N	N	Y	GED					C			C																																				C												C	25.00									Y	Y	Y	MIN		MIN	MOD	nursing program																X		X																																							X					X		Y		Y
2018	12	5126	USD	2660	2660		1395	1265	1395	1265					N					Y		Y	health professions programs	Y	Y	N	N		NON	GED	certain allied health programs			C			C																																				C												C	0.00									Y	N	N	NONC		NONC																		X	X	X	X																																						X	X	X			X		Y	X	Y
2018	12	5127	USD												N					Y	for state residents if not in the nursing, pharmacy technology, or physical therapy assistant programs	N		Y	Y	N	N	Y	GED					C			C																																				C												C	0.00									Y	N	N	NONC	MIN	NONC	MOD	nursing program, some technical programs																X		X	X																																						X		X							Y
2018	12	5128	USD	740	618										N					Y		N		Y		N	N	Y	GED					C			C																																				C												C	0.00									Y	N	Y	NONC		NONC																																																																				
2018	12	5129	USD	2105	2105		1011	1094	1011	1094					N					Y		N		Y					NON					C			C																																				C												C	0.00									Y	N		NONC		NONC																		X	X	X	X																																						X									Y
2018	12	5130	USD	513	415		182	331	148	267					N					N		N		Y		N	N	N	GED			7	15																																						7	15														20.00									Y			MIN	MOD	MIN																		X																																													1			N		Y
2018	12	5133	USD												N					N		N		N		N	N	Y	GED																																												C													45.00									Y	N	Y	NONC		NONC																		X	X	X	X																																						X	X	X	X		X		N		
2018	12	5134	USD												Y					N		N		N	N	N	N	Y	GED																																										8	1											10	1	C	60.00									Y	N	N	MOD		MOD																		X	X	X																																							X	X	X							
2018	12	5138	USD												N					N		N		N	Y	N	N	Y	GED																																												C												C	60.00									Y	N	N	MOD		MIN																		X	X	X	X																																						X	X				X		Y		Y
2018	12	5139	USD												N					N		N		N		N	N	Y	GED																																																									75.00									Y			NONC		NONC																																																																				
2018	12	5142		200	173										N					Y		N		N		N	N		GED																																																																																																																																											
2018	12	5144	USD	133	74		54	79	36	38					N					Y		N		Y	Y	N	N	Y	GED					C																																							C													35.00									Y	Y	N	NONC		NONC																		X		X																																			9	15	9	15	X					X				Y
2018	12	5145	USD	14049	9826		5667	8382	3622	6204					Y	1288		215		N		N		N	Y	Y	N	Y	GED			3	15	C	1	25	C																																				C												C	65.00									Y	Y	Y	MOD		MOD																		X		X	X																																						X		X			X		Y		Y
2018	12	5146	USD	1875	1397		701	1174	506	891					N					N		N		N	Y	N	N	Y	REQ					C																																							C													0.00									Y	N	Y	MOD		MOD																		X	X	X	X																																		8	1			X	X	X	X		X		Y		Y
2018	12	5147													N							N		N		N	N	N	GED								C																																																										N			NONC		NONC																																																																				
2018	12	5148	USD												N					N									GED								C																																																	0.00									N	Y	N	NONC																																																																						
2018	12	5150	USD												N					Y									GED								C																																																	0.00									N	Y	N	NONC																																																																						
2018	12	5154	USD	183	95		42	141	24	71					N					N		N		N	Y	N	N	Y	GED					C			C			C																											C						C												C	0.00									Y	Y	Y	MIN		MIN	MOST	nursing, teacher education programs																X		X	X																																		8	15	8	15	X		X					Y		Y
2018	12	5155	USD	1868	1868		864	1004	864	1004					N					Y		N		Y	Y	N	N	Y	NON	GED	criminal justice, health information technology, law enforcement, medical office and laboratory technology, pharmacy technician, nursing, communications, paralegal, mortuary science, automotive technology programs			C			C			C																											C						C												C	0.00									Y	N	N	NONC		NONC																		X		X	X																																						X	X	X	X		X		Y	X	Y
