DATASET_YR	REPRJ_ID	INUN_ID	ACAD_YR	CURRENCY_CODE	SCHOL_NB_FED_D	SCHOL_NN_FED_D	SCHOL_NB_STATE_D	SCHOL_NN_STATE_D	SCHOL_NB_EXT_D	SCHOL_NN_EXT_D	SCHOL_NB_INST_D	SCHOL_NN_INST_D	UG_PT_N_N	UG_PT_AP_N	FRSH_FT_ND_N	UG_PT_ND_N	FRSH_FT_NB_GIFT_N	UG_FT_NB_GIFT_N	UG_PT_NB_GIFT_N	FRSH_FT_NB_SH_N	UG_PT_AVG_PKG_D	UG_FT_NB_SH_N	UG_PT_NB_SH_N	FRSH_FT_NN_GIFT_N	UG_FT_NN_GIFT_N	UG_PT_NN_GIFT_N	FRSH_FT_NN_SH_N	UG_FT_NN_SH_N	UG_PT_NN_SH_N	FRSH_FT_ND_MET_N	UG_FT_ND_MET_N	UG_PT_ND_MET_N	UG_PT_ND_MET_P	UG_FT_N_N	FRSH_FT_N	UG_FT_AP_N	INTL_NO	FRSH_FT_AP_N	UG_FT_ND_N	INTL_AVG_D	INTL_RECD_N	INTL_NB	UG_FT_AVG_PKG_D	FRSH_FT_AVG_PKG_D	UG_FT_ND_MET_P	FRSH_FT_ND_MET_P	FORM_DOM_FAFSA	FORM_DOM_CSS	FORM_DOM_STATE	FORM_DOM_INST	FORM_DOM_OTH	FORM_DOM_OTH_T	FORM_DOM_PARENT	FORM_DOM_BUS	FORM_INTL_INST	FORM_INTL_CSS	FORM_INTL_FA_AP	FORM_INTL_CERTIF_FIN	FORM_INTL_OTH	FORM_INTL_OTH_T	AP_DL	AP_DL_NO	AP_DL_MON	AP_DL_DAY	AP_DL_PRIORITY	AP_DL_PRIORITY_MON	AP_DL_PRIORITY_DAY	AP_NOTF_ROLL	AP_NOTF_ROLL_MON	AP_NOTF_ROLL_DAY	AP_NOTIF_DL	AP_NOTF_DL_MON	AP_NOTF_DL_DAY	AP_REPLY_DL_MON	AP_REPLY_DL_DAY	AP_REPLY_DL_WEEK	UG_CLASS_LOAN_P	UG_CLASS_AVG_DEBT_D	LOAN_PERKINS	LOAN_DIRECT_PLUS	LOAN_DIRECT_STAFFORD_SUB	LOAN_DIRECT_STAFFORD_UNSUB	LOAN_NURSING	LOAN_STATE	LOAN_INST	LOAN_OTH	LOAN_OTH_T	LOAN_DIRECT_CONSOL	JOBS_FWS	JOBS_FWS_N	JOBS_FWS_AVG_D	SCHOL_NB	SCHOL_NB_UNCF	SCHOL_NB_NURSING	JOBS_PT	JOBS_PT_N	SCHOL_NB_PELL	SCHOL_NB_SEOG	SCHOL_NN_ROTC	SCHOL_NB_STATE	SCHOL_NB_PRIVATE	SCHOL_NB_INST	SCHOL_NB_OTH	SCHOL_NB_OTH_T	SCHOL_NN	SCHOL_NN_ACAD	SCHOL_NN_ACAD_N	SCHOL_NN_ACAD_D	SCHOL_NN_ART	SCHOL_NN_ART_N	SCHOL_NN_ART_D	SCHOL_NN_ACHV	SCHOL_NN_ACHV_N	SCHOL_NN_ACHV_D	SCHOL_NN_OTH	SCHOL_NN_OTH_T	SCHOL_NN_CHAR	SCHOL_NN_CHAR_N	SCHOL_NN_CHAR_D	SCHOL_NN_ATHL	SCHOL_NN_ATHL_MEN_N	SCHOL_NN_ATHL_MEN_D	SCHOL_NN_ATHL_WMN_N	SCHOL_NN_ATHL_WMN_D	INTL_NN	SH_NB_STUD_LOAN_D	SH_NN_STUD_LOAN_D	SH_NB_FWS_D	SH_NB_STATE_D	SH_NN_STATE_D	SH_NB_TOT_D	SH_NN_TOT_D	SCHOL_NN_ATHL_TOT_N	SCHOL_NN_ATHL_TOT_D	SCHOL_NN_TOT_D	SCHOL_NB_TOT_D	METH_FM	METH_IM	METH_FM_IM	LOAN_FFEL_STAFFORD_SUB	LOAN_FFEL_STAFFORD_UNSUB	LOAN_FFEL_PLUS	LOAN_FFEL_CONSOL	EST_OFF_I	NB_PARENT_D	NN_PARENT_D	NB_WAIVER_D	NN_WAIVER_D	NB_ATHL_D	NN_ATHL_D	FRESH_FT_REC_AID_N	UG_FT_REC_AID_N	UG_PT_REC_AID	FRSH_FT_AVG_NB_GIFT_D	UG_FT_AVG_NB_GIFT_D	UG_PT_AVG_NB_GIFT_D	FRESH_FT_AVG_NB_SH_D	UG_FT_AVG_NB_SH_D	UG_PT_AVG_NB_SH_D	FRESH_FT_AVG_NB_LOAN_D	UG_FT_AVG_NB_LOAN_D	UG_PT_AVG_NB_LOAN_D	FRESH_FT_NN_NONEED_N	UG_FT_NN_NONEED_N	UG_PT_NN_NONEED_N	FRESH_FT_NN_NONEED_D	UG_FT_NN_NONEED_D	UG_PT_NN_NONEED_D	FRESH_FT_NN_ATHL_N	UG_FT_NN_ATHL_N	UG_PT_NN_ATHL_N	FRESH_FT_NN_ATHL_D	UG_FT_NN_ATHL_D	UG_PT_NN_ATHL_D	JOBS_PT_AVG_D	URL_ADDRESS_FA	BCD_T	UG_FT_ND_PLUS_P	UG_FT_NONEED_PLUS_P	EFC_0_MIN_PKG_D	EFC_5000_MIN_PKG_D	EFC_10000_MIN_PKG_D	EFC_MAX_REC_AID_D	METH_FM_IM_GAP_D	INTL_NB_FA_OTH	INTL_NB_FA_OTH_T	INTL_NB_JOBS_PT	INTL_NB_LOAN_INST	INTL_NB_LOAN_NON_INST	INTL_NB_SCHOL_ATHL	INTL_NB_SCHOL_INST	INTL_NB_WAIVER	INTL_NN_FA_OTH	INTL_NN_FA_OTH_T	INTL_NN_JOBS_PT	INTL_NN_LOAN_INST	INTL_NN_LOAN_NON_INST	INTL_NN_SCHOL_ATHL	INTL_NN_SCHOL_INST	INTL_NN_WAIVER	UG_CLASS_LOAN_FED_P	UG_CLASS_AVG_DEBT_FED_D	LOAN_PERKINS_AVG_D	SCHOL_NB_SEOG_AVG_D	LOAN_PERKINS_P	SCHOL_NB_SEOG_P	UG_FT_AVG_NB_GIFT_2YR_D	UG_FT_AVG_NB_GIFT_3YR_D	UG_FT_AVG_NB_GIFT_4YR_D	UG_FT_NN_NONEED_2YR_D	UG_FT_NN_NONEED_3YR_D	UG_FT_NN_NONEED_4YR_D	URL_ADDRESS_SCHOL	UG_CLASS_N	UG_CLASS_LOAN_N	UG_CLASS_LOAN_FED_N	UG_CLASS_LOAN_INST_N	UG_CLASS_LOAN_INST_P	UG_CLASS_AVG_DEBT_INST_D	UG_CLASS_LOAN_STATE_N	UG_CLASS_LOAN_STATE_P	UG_CLASS_AVG_DEBT_STATE_D	UG_CLASS_LOAN_PRIVATE_N	UG_CLASS_LOAN_PRIVATE_P	UG_CLASS_AVG_DEBT_PRIVATE_D
2018	13	5643																																													X			X															X	5	15									2.00				X	X	X							X	150	2000.00	X					X	X		X	X	X																																																																																																																											
2018	13	5645	2014																																												X			X					X										X	3	2	X	7	1																			X			X		X			X	X		X	X	X																																																																										http://www.chabotcollege.edu/finaid																																					http://www.chabotcollege.edu/finaid/scholarships.asp												
2018	13	5647	2005		3010821.00	76996.00	907741.00	0.00	139451.00	0.00	353490.00	0.00																						1776	321								2615.00	2406.00			X			X															X	6	1									2.00	50.00	11000.00	X	X	X	X							X			X					X	X		X		X																							X	1888669.00	931486.00	440904.00	0.00	0.00	2329573.00	931486.00			76996.00	4411503.00	X								421369.00	894711.00	120219.00	0	407392.00	0.00	285	1715		1842.00	1934.00		1020.00	1155.00		909.00	1273.00		0	0		0.00	0.00									http://www.csc.edu/finaid/																																																	
2018	13	5648																																													X																		X	3	2	X	4	1						2.00													X	700	3000.00	X					X	X		X	X	X	X	Bureau of Indian Affairs Grants																																																																																			X				X	X			X				X																										
2018	13	5649	2016																																					1000.00	6	X					X			X					X						X		5	15							X	1	6			2.00				X	X	X				X	Sallie Mae Smart Option Loans					X									X	X																							X													X																																						http://www.columbiabc.edu/financialinfo											X		X	X	X	X			X		X	X	X	X																									
2018	13	5651	2017												185		168	756		96		541		178	798					17	90			1138	255	937		235	823	14397.00	19		17701.00	18292.00	61.00	64.00	X															X															64.00	26191.00		X	X	X				X	alternative loans		X			X					X	X			X	X	X	TEACH Grants			996	8037668.00					79	1047654.00				35	526555.00						X												X														181	816		4705.00	4608.00		3171.00	4247.00		3179.00	4187.00		71	298		10972.00	8967.00									http://www.chaminade.edu/finaid		14.00	2.00																		X	X	X		64.00	22348.00	0.00	469.00	0.00	36.00	4663.00	4414.00	4437.00	9496.00	7971.00	7926.00	https://finaid.chaminade.edu/scholarships/	161	103	103	0	0.00	0.00	0	0.00	0.00	11	7.00	35982.00
2018	13	5652	2018		5042999.00	847020.00	1296957.00	50073.00	359235.00	148190.00	27134705.00	7543905.00			439		433	1641		363		1456		62	161					88	257			2507	587	1970		521	1727	17397.00	21		25094.00	28236.00	65.00	71.00	X								X						X		1	15							X	3	30	5	1	2.00	71.00	38818.00	X	X	X	X		X					X			X					X	X		X	X	X																							X	16001292.00	5915601.00	2739782.00	0.00	0.00	18741074.00	5915601.00			8589188.00	33833896.00	X								6232919.00	5658600.00	1051770.00	632387	0.00	0.00	439	1719		21655.00	19527.00		9248.00	9653.00		3445.00	4028.00		81	208		10778.00	10660.00									http://www.champlain.edu/admissions/undergraduate-admissions/financial-aid-undergraduate																							X		70.00	26637.00											http://www.champlain.edu/admissions/undergraduate-admissions/financial-aid-undergraduate/grants-and-scholarship	415	295	291	0	0.00	0.00	0	0.00	0.00	78	19.00	47962.00
2018	13	5653																																													X																																X						X				X								X	X		X																																																																																																																													
2018	13	5655	2017		5043647.00		5789227.00		1107414.00	100239.00	96816133.00	6532760.00			911		832	3107		770		3113		660	2385					164	411			6130	1511	3944		1142	3458	17745.00	154		32620.00	35342.00	69.00	75.00	X		X																X	3	2	X	3	15						3.00	59.00	26926.00	X		X	X							X	2046	2847.00	X					X	X		X	X	X					3627	59085399.00		274	1072220.00							155	396697.00						X	27798044.00	2997883.00	8849601.00			36647645.00	2997883.00			6632999.00	108756421.00	X								33509119.00	4732307.00	835408.00	14386			911	3444		17928.00	16989.00		5942.00	6774.00		3433.00	4493.00		188	385		19066.00	16916.00									http://www.chapman.edu/finaid/		18.00	1.00																				X		59.00	21588.00	1811.00	3815.00	2.00	2.00								873	518	514	21	2.00	6627.00	0	0.00	0.00	66	8.00	41098.00
2018	13	5656	2014																																												X			X					X										X	3	1	X	5	1						2.00					X	X			X				X			X					X	X		X	X	X																																																																										http://www.csmd.edu/Financial/index.html																																					http://www.csmd.edu/Financial/scholarships/scholarships.html												
2018	13	5657																																													X														X		7	31	X	5	2									8.00			X							X	alternative loans		X			X					X	X		X		X																																			X																																																																																								
2018	13	5658	2017																																												X											X							X	6	1	X	5	1										X	X	X			X				X			X			X		X	X		X																																																																												http://www.mcc.edu/financial_aid/index.php																																																	
2018	13	5659																																													X								X						X		8	1	X	5	15									2.00									X	X	alternative loans		X	10	1500.00	X			X	4	X	X		X	X	X																																																																									800	http://www.chatfield.edu/?page_id=174																X								X																									
2018	13	5660																																													X			X					X							X																		X	X	X		X	X							X		X			X	X		X	X	X	X	Bureau of Indian Affairs Grants																																																																																																																									
2018	13	5661	2018		1555696.00	0.00	1342148.00	0.00	167760.00	185607.00	16071577.00	1747817.00			228		200	558		200		698		228	698					53	109			914	284	865		271	812	13761.00	21	X	26138.00	29499.00	63.00	67.00	X											X				X			X	3	1				X	3	1			3.00	64.00	35303.00	X		X	X							X	338	2200.00	X			X	0	X	X		X	X						920	13627021.00		23	48350.00		601	1683500.00				55	342647.00						X	3287939.00	1951349.00	729717.00	0.00	200000.00	4017656.00	2151349.00			1933424.00	19137181.00			X						2782435.00	127737.00	485874.00	43243	0.00	0.00	228	812		10012.00	9112.00		4749.00	4931.00		3182.00	3963.00		31	89		17096.00	16089.00								0	http://www.chatham.edu/admissions/aid/undergraduate/		18.00	5.00										X		X						X		X		64.00	26793.00	3363.00	1426.00	3.00	4.00	19436.00	20570.00	17961.00	19000.00	16000.00	18000.00	http://www.chatham.edu/admissions/aid/undergraduate/firstyear.cfm	69	45	45	0	0.00	0.00	0	0.00	0.00	14	20.00	29267.00
2018	13	5662																																													X		X																X	4	1	X	6	15																			X	40	2500.00	X					X	X		X	X	X	X	Georgia HOPE Grants, Georgia HOPE Scholarships, Georgia Accel Program																																																																																			X				X								X																										
2018	13	5663	2015																																												X																		X	7	1	X	8	1						1.00				X	X	X				X	alternative loans		X	29	2297.00	X					X	X		X	X																																																																											http://www.cv.edu/?page_id=142																																					http://www.cv.edu/?page_id=586												
2018	13	5664	2012																																												X			X					X			X				X			X	6	1	X	4	1										X	X	X							X			X			X		X	X		X	X	X																																																																										http://www.chattanoogastate.edu/financialaid															X								X														http://www.chattanoogastate.edu/financialaid/faschol.html												
2018	13	5665	2011																																												X			X												X						X	3	15						4.00			X						X				X			X					X	X		X	X																																																																																																																												
2018	13	5666																																													X																		X	5	1	X	6	1						2.00			X										X	32	1482.00	X					X	X		X	X	X																																																																										http://www.chesapeake.edu/finaid/default.asp																																																	
2018	13	5667																																													X			X												X			X	6	1																						X	26	2800.00	X					X	X		X	X	X																																																																																									X																																		
2018	13	5668	2018		2815471.00	3250.00	1565336.00	43842.00	601568.00	47173.00	107927.00	26193.00			180		147	738		179		873		174	661					51	262			1086	208	885		180	885	25267.00	20		24523.00	30165.00	55.00	63.00	X		X				X								X		6	30	X	10	1	X	10	1						8.00	86.00	42527.00		X	X	X				X	alternative loans		X			X			X	0	X	X		X	X	X																							X	10194265.00	1155480.00	216750.00	0.00	0.00	10411015.00	1155480.00			120458.00	5090302.00	X								2615174.00	206812.00	0.00	0	890121.00	558146.00	180	883		9743.00	16903.00		3557.00	4716.00		3318.00	4468.00		28	133		14546.00	14146.00								0	https://www.chc.edu/financial-services																						X	X		86.00	29397.00											http://www.chc.edu/Undergraduate/Financial_Aid/Types_of_Financial_Aid/	116	100	100	0	0.00	0.00	0	0.00	27075.00	35	30.00	33965.00
2018	13	5669	2004		3928759.00	0.00	2004426.00	0.00	0.00	378069.00	0.00	1363011.00			227		201	989		155		706		83	570					105	451			1052	248	1030		245	1005				11789.00	10675.00	87.00	87.00	X										X								X	4	15									2.00	92.00	21000.00	X										X	215	1300.00	X			X	133	X	X		X	X	X					99	783000.00											62264.00						X	4089801.00	3137905.00	279500.00	80000.00	0.00	4449301.00	3137905.00			1741080.00	5933185.00	X								988221.00		114960.00		118451.00		201	989		1876.00	1975.00		2800.00	3900.00		2625.00	3700.00					7000.00	10000.00								600	http://www.cheyney.edu/pages/?p=60		10.00	3.00																																														
2018	13	5673	2014		14549028.00	38408.00	7120083.00	178007.00			1862365.00	17968.00			226		216	2496		224		2667		0	0					0	0			2848	235	2703		226	2701	19198.00	46		11606.00	11457.00	40.00	42.00	X								X						X		6	30	X	1	15	X	4	1						16.00	88.00	29731.00	X	X	X	X	X						X			X		X	X		X	X		X	X	X																							X	39209637.00	10000.00	476576.00			39686213.00	10000.00			234383.00	23531476.00			X						13323977.00		398087.00	54160	1205531.00	517889.00	225	2697		8681.00	7724.00		1923.00	1818.00		2898.00	4343.00		0	22		0.00	5931.00											3.00	0.00								X		X	X	X	X			X		X	X	X	X	88.00	29731.00	3218.00	1121.00	1.00	7.00	7684.00	7803.00	7062.00	0.00	4672.00	1533.00													
2018	13	5675																																													X			X					X							X																		X	X	X		X					X	30	2050.00	X					X	X		X	X																																																																																																																												
2018	13	5677																																													X			X					X										X	5	15																						X			X					X	X		X	X	X																																																																																																																											
2018	13	5678	2018		5550760.00	18620.00	3186182.00	42669.00	486816.00		14050423.00				486		484	1379		452		1379		1	10					26	114			1497	503	1427		495	1379	25359.00	54		21151.00	21497.00	66.00	63.00	X											X							X	5	1	X	4	1						2.00	89.00	38443.00	X	X	X	X		X		X	alternative loans		X	271	1449.00	X			X	194	X	X		X	X	X					1435	6223716.00		40	71631.00		582	1640865.00				39	266482.00						X	4895481.00	5278476.00	392620.00		0.00	5288101.00	5278476.00			61289.00	23274181.00	X									5552561.00	126786.00		2930005.00		486	1379		17449.00	16993.00		3242.00	3564.00		3140.00	3295.00		9	48		8411.00	6088.00								2669	https://www.chowan.edu/admissions/financial-aid		38.00	1.00												X				X			X	X		84.00	35525.00	2277.00	3636.00	2.00	5.00	18827.00	19043.00	16615.00	13631.00	8944.00	7959.00		61	192	191	0	0.00	0.00	0	0.00	0.00	22	10.00	26995.00
2018	13	5679	2018		2407190.00	0.00	2862350.00	0.00	9900.00	0.00	12595662.00	4679101.00			243		242	1006		171		863		29	97					34	149			1641	328	1310		285	1152	7703.00	59		22186.00	25612.00	61.00	71.00	X		X		X	department scholarship application form									X		3	2				X	11	1						4.00	72.00	32754.00		X	X	X				X	private loans		X	86	2238.00	X			X	0	X	X		X	X	X					952	8725538.00		245	1595026.00							303	1817178.00						X	4188521.00	7841161.00	190000.00			4378521.00	7841161.00			4679101.00	17875102.00	X								0.00	4688412.00	590181.00	390755	1953409.00	1768822.00	243	1139		21459.00	19406.00		3715.00	4692.00		3409.00	4515.00		60	281		10228.00	10787.00								0	http://www.cui.edu/studentlife/financial-aid/		19.00	9.00																		X	X	X		72.00	25250.00		899.00		9.00	19995.00	18050.00	16790.00	9205.00	9710.00	8740.00	https://www.cui.edu/studentlife/financial-aid/undergraduate/prospective-students-scholarships	232	166	166	0	0.00	0.00	0	0.00	0.00	33	14.00	37745.00
2018	13	5680	2018		0.00	0.00	0.00	503250.00	0.00	80100.00	3753379.00	1908017.00			68		67	295		46		243		8	33					0	0			478	145	298		68	298	11822.00	8		18586.00	18729.00	72.00	70.00				X					X										X	4	15	X	11	1						4.00	71.00	31877.00							X							X			X	177				X	X	X					303	2839724.00										72	472770.00						X	1850994.00	953986.00	0.00	0.00	397063.00	1850994.00	1351049.00			2491367.00	3753379.00		X							0.00	0.00	0.00	0	0.00	0.00	67	295		10418.00	11914.00		5665.00	7168.00		5665.00	7168.00		62	127		11639.00	10678.00								2243	http://www.christendom.edu/aid/index.php		0.00	0.00								X	X	X		X				X		X		X		0.00	0.00	0.00	0.00	0.00	0.00								109	77	0	72	66.00	24437.00	0	0.00	0.00	22	20.00	31592.00
2018	13	5681	2018		2743689.00		2694649.00	632520.00	388661.00	1524240.00	12916224.00	7684492.00			275		274	925		130		488		51	137					90	276			1402	379	1388		379	964	25486.00	54		24970.00	27968.00	74.00	81.00	X											X				X														2.00	71.00	30694.00	X	X	X	X			X	X	alternative loans		X	126	696.00	X			X	99	X	X		X	X	X					32	215950.00		6	10250.00		581	1448803.00				498	3307656.00						X	5493053.00	1492167.00	87646.00	2281.00	55220.00	5582980.00	1547387.00			9841252.00	18743223.00	X								684920.00	550075.00	233867.00	310514	816447.00	1394056.00	275	962		23686.00	21001.00		3301.00	4052.00		3269.00	4006.00		104	402		17916.00	17121.00								581	http://www.cbu.edu/financial-aid		11.00	1.00																X	X		X	X		71.00	27570.00	2682.00	1931.00	1.00	4.00	20157.00	19548.00	17655.00	20586.00	19006.00	15710.00	http://www.cbu.edu/scholarships	171	122	122	22	13.00	5152.00	0	0.00	0.00	12	7.00	22258.00
2018	13	5682	2017		1614763.00	0.00	1027219.00	0.00	0.00	139867.00	1854675.00	0.00			48		36	460		48		615		38	505					12	150			738	57	650		56	615	14198.00	47	X	24561.00	24097.00			X											X			X		7	1	X	3	2	X	10	1	X	12	1	7	1	4.00	58.00	19212.00	X	X	X	X							X	65	2400.00	X			X	29	X	X		X	X	X					129	626941.00		19	71784.00		107	578608.00				120	517273.00						X	2155616.00	3354622.00	298880.00	65000.00	0.00	2519496.00	3354622.00			139867.00	4496657.00	X								0.00	1959644.00	0.00	198606	0.00	2444868.00	48	615		4094.00	4516.00		184.00	591.00		2828.00	3505.00		3	18		14166.00	10369.00								2400	http://sdcc.edu/admissions-undergraduate/tuition-and-financial-aid/		13.00	18.00								X										X	X	X		58.00	19212.00	3777.00	1232.00	1.00	4.00	5441.00	5878.00	4901.00	3320.00	4271.00	4353.00					0	0.00	0.00	0	0.00	0.00			
2018	13	5685	2018		3206951.00	0.00	4886954.00	64200.00	0.00	1156486.00	2044325.00	3565235.00			613		424	1445		443		1692		242	623					120	423			4867	1293	3208	X	1057	2144				9690.00	9535.00	65.00	65.00	X															X			X	3	1	X	3	1				5	1		57.00	32994.00		X	X	X							X	82	1372.00	X			X	1576	X	X		X	X	X					48	135000.00		97	206025.00		1071	3122300.00				47	114600.00							7278115.00	16356546.00	102587.00	0.00	2193606.00	7380702.00	18550152.00			4785921.00	10138230.00	X								0.00	8914057.00	0.00	391078	0.00	0.00	572	2042		6906.00	6982.00		3462.00	4371.00		3401.00	4335.00		241	733		3348.00	2979.00								1867	http://cnu.edu/financialaid/		20.00	11.00																						55.00	23609.00	0.00	3824.00	0.00	1.00	2194.00	3090.00	2894.00	3796.00	2343.00	2495.00	http://cnu.edu/financialaid/types/scholarships/	1006	578	557	0	0.00	0.00	0	0.00	0.00	165	16.00	35881.00
2018	13	5693	2016		1055667.00	0.00	270348.00	53.00	196493.00	86824.00	1709940.00	505526.00			94		91	404		82		393		10	31					12	37			519	106	475		104	431	10796.00	4		12945.00	12827.00	57.00	60.00	X											X				X			X	3	1	X	2	1				8	1		79.00	25089.00		X	X	X			X	X	private loans		X			X					X	X		X	X	X																							X	2892167.00	761243.00	320076.00	0.00	0.00	3212243.00	761243.00			592403.00	3232448.00	X								669558.00	420890.00	0.00	0	657369.00	214405.00	94	431		9376.00	9374.00		4298.00	4560.00		3335.00	3758.00		4	57		7929.00	6966.00									http://www.ccuniversity.edu/financial											X		X	X	X				X		X	X	X		79.00	23656.00	0.00	626.00	0.00	12.00							https://my.ccuniversity.edu/ICS/Enrollment_Services/Scholarships.jnz	67	53	53	0	0.00	0.00	0	0.00	0.00	4	6.00	18988.00
2018	13	5694																																													X			X												X									X	9	1	9	1																	X					X			X	X	X	X	state grants (for Ohio students)																																																																																					X																																				
2018	13	5696																																													X																		X	2	15	X	4	1						2.00													X	100	3500.00	X					X	X		X	X	X																																																																																					X		X	X	X	X			X		X	X	X	X																									
2018	13	5697	2008		1039000.00		615000.00	325000.00	0.00	45000.00	0.00	750000.00			200		150	305		200		415		195	405					50	100			500	230	480		220	415	6000.00	1	X	9500.00	11000.00	50.00	50.00	X								X										X	3	31				X	6	1			2.00	90.00	30000.00							X	X	state nursing loans		X	50	1700.00	X			X		X	X		X	X	X																100	125000.00						X	1900000.00	2500000.00	85000.00	0.00	0.00	1985000.00	2500000.00			1120000.00	1654000.00									0.00	98000.00	0.00	52000	0.00	0.00	200	415		4000.00	4000.00		3500.00	5000.00		2500.00	4500.00		25	80		2500.00	1500.00									http://www.ohiochristian.edu/aid		2.00																					X		90.00	22000.00		75.00	0.00	40.00																			
2018	13	5698																																													X			X															X	5	15																						X			X					X	X		X		X																																																																																																																											
2018	13	5699	2018		3048749.00	58518.00	2879907.00	1864050.00	6922281.00	5220883.00	4996115.00	2002227.00			474		397	1215		354		1116		59	288					76	387			2558	687	1921		598	1512	36324.00	5		17136.00	15346.00	62.00	55.00	X											X	X	FAFSA		X			X	3	1	X	4	1						2.00	64.00	32039.00	X	X	X	X				X	SC Teacher's Loan		X			X			X		X	X		X	X	X																							X	12470578.00	2944517.00	143389.00			12613967.00	2944517.00			9145678.00	17847052.00		X							8748096.00	1539116.00	330767.00	132275	3148498.00	2434682.00	458	1465		14764.00	16862.00		3372.00	4292.00		3367.00	4191.00		139	589		8233.00	15228.00									http://www.citadel.edu/finaid/													X								X	X			62.00	22103.00												483	309	301	0	0.00	0.00	1	0.00	10000.00	80	17.00	40465.00
2018	13	5700																																													X															X						X	5	1										X	X	X			X				X	141	5500.00	X			X		X	X		X	X	X																																																																																																																											
2018	13	5703																																													X		X	X					X						X		6	11	X	3	2	X	7	1						2.00			X		X	X							X			X					X	X		X	X	X	X	Bureau of Indian Affairs Grants																																																																																																																									
2018	13	5705																																													X																		X	8	16									2.00													X	150	3000.00	X					X	X		X	X																																																																											http://www.trumancollege.net/finaid/index.php																																																	
2018	13	5706																																													X																		X	8	1	X	9	1						10.00													X	148	1539.00	X					X	X		X		X																																																																																																																											
2018	13	5707																																													X			X															X	8	1	X	5	1						2.00													X	100	3500.00	X					X	X		X																																																																																																																													
2018	13	5708	2018																																												X								X										X	4	1	X	6	1						2.00										X	alternative loans (such as TERI, PLATO and Achiever)		X			X					X	X		X	X	X																																																																																									X	X							X																										
2018	13	5709																																													X			X	X	proof of citizenship, financial aid transcript (for transfers)			X										X	4	15	X	4	30																			X	150	3900.00	X					X	X		X	X	X																																																																																																																											
2018	13	5710																																													X			X	X	income verification										X																											X	250	2500.00	X					X	X		X		X																																																																																																																											
2018	13	5711																																													X			X					X				X	FAFSA		X						X	4	1											X	X							X	67	1000.00	X					X	X				X																																																																										http://www.ccc.edu/wright/faid.htm																																																	
2018	13	5713	2017		35181922.00	0.00	27716239.00	0.00	897020.00	0.00	4168305.00	0.00			1367		1272	7837		160		1564		865	2272					138	835			12864	1966	9529		1638	8559			X	5836.00	6115.00	24.00	45.00	X		X																X	4	15	X	4	21				6	1	2.00	22.00	5642.00	X	X	X	X							X	481	2988.00	X			X		X	X		X		X																							X	5961846.00	16053327.00	926419.00	132703.00	0.00	7020968.00	16053327.00			0.00	67963486.00	X								0.00	1468199.00	0.00	0	0.00	0.00	1320	8170		5666.00	5330.00		4224.00	4720.00		3186.00	3842.00		332	1796		4434.00	5003.00									http://www.baruch.cuny.edu/undergrad/finaid.html		1.00	1.00								X				X				X		X		X		18.00	5178.00	2000.00	475.00	1.00	13.00	4534.00	3821.00	3378.00	4924.00	4667.00	5850.00	http://www.baruch.cuny.edu/studentaffairs/scholarships.htm	1533	304	247									
2018	13	5714	2017																																												X		X	X												X			X	5	1	X	4	15									X	X	X	X							X			X					X	X		X	X	X																																																																																																																											
2018	13	5715																																													X																																X						X				X								X	X		X	X																																																																																																																												
2018	13	5716	2016		34346706.00	0.00	25175617.00	0.00	687042.00	754966.00	829581.00	2547126.00			1200		770	7510		812		7070		278	2185					785	6501			10080	1327	9770		1285	9156	0.00	0	X	7500.00	7500.00	89.00	88.00	X		X						X						X		5	1				X	5	15							30.00	15235.00	X	X	X	X							X	407	2613.00	X					X	X		X	X	X					0	0.00		0	0.00														X	8889150.00	21335940.00	1576538.00	0.00	0.00	10465688.00	21335940.00			3302092.00	61038946.00	X									481265.00	0.00	0	0.00	0.00	1060	7950		3400.00	3400.00		3500.00	3500.00		3000.00	3000.00		42	310		2000.00	2500.00									http://www.brooklyn.cuny.edu/pub/financing.htm		83.00	28.00								X		X		X				X		X		X		30.00	15235.00	1500.00	400.00	22.00	56.00	1000.00	1000.00	1000.00	2500.00	2000.00	1300.00	http://www.brooklyn.cuny.edu/pub/scholarships.htm	2486	1200	1200	0								
2018	13	5718	2017		516570987.00	13293645.00	25298659.00		2003.00	46000.00	0.00	2790666.00			1343		1175	8908		570		5685		677	5494					965	7545			10022	1683	9399		1492	8966			X	9340.00	9212.00	84.00	87.00	X		X																X	3	15	X	4	1									X	X	X	X							X			X			X		X	X		X	X	X																							X	6019729.00	6781018.00	83082.00	0.00	0.00	6102811.00	6781018.00			16130311.00	541871649.00	X								50288457.00						1255	8966		8324.00	8246.00		3610.00	7626.00		2287.00	4249.00		248	756		3279.00	4410.00									http://www.ccny.cuny.edu/financialaid/index.cfm											X	X	X			X			X		X		X	X													http://www.ccny.cuny.edu/admissions/scholarships-awards.cfm												
